student_id,homework_avg,attendance,interaction,midterm_score,study_hours,final_score,is_failed
学生53,59.8,30,4,60.2,1.7,51.3,1
学生54,79.2,28,10,45.1,3.9,55.2,1
学生55,85.5,20,5,100.0,4.2,70.8,0
学生56,84.0,23,4,66.1,1.8,53.6,1
学生57,57.4,28,7,65.3,1.5,49.2,1
学生58,65.4,22,3,64.6,3.1,59.0,1
学生59,75.0,26,5,68.6,1.8,58.5,1
学生60,84.6,27,3,62.4,3.3,57.7,1
学生61,62.8,22,15,54.7,2.7,53.1,1
学生62,67.2,24,8,55.2,0.7,32.2,1
学生63,53.4,15,5,64.4,4.4,56.6,1
学生64,52.1,21,8,55.2,4.7,40.7,1
学生65,82.2,24,7,52.2,1.8,50.2,1
学生66,90.3,21,7,66.9,2.0,53.8,1
学生67,68.9,29,10,60.4,2.8,47.7,1
学生68,85.1,20,11,92.1,2.9,74.5,0
学生69,75.4,23,5,17.3,3.3,38.0,1
学生70,60.3,25,5,84.6,4.9,64.7,0
学生71,75.4,29,6,87.4,2.3,64.0,0
学生72,93.1,20,0,27.7,1.5,47.0,1
学生73,69.5,28,1,58.8,0.8,49.1,1
学生74,93.5,25,13,58.3,1.6,51.5,1
学生75,30.7,22,14,39.7,2.5,38.9,1
学生76,82.3,26,7,51.0,4.7,55.4,1
学生77,71.3,25,10,45.0,1.9,39.2,1
学生78,65.5,23,9,96.5,2.8,62.4,0
学生79,71.4,25,20,81.8,2.5,69.6,0
学生80,40.2,23,12,87.9,3.9,60.7,0
学生81,66.7,25,7,78.0,5.5,62.3,0
学生82,75.4,26,4,44.7,1.9,45.9,1
学生83,92.2,29,1,55.6,1.9,55.2,1
学生84,62.2,21,8,73.8,3.8,67.5,0
学生85,57.9,30,4,43.0,3.3,47.3,1
学生86,62.5,19,2,77.8,4.7,61.5,0
学生87,83.7,24,5,60.7,3.2,63.2,0
学生88,74.9,26,3,58.3,2.1,53.8,1
学生89,62.1,25,14,77.8,3.2,57.4,1
学生90,77.7,23,11,73.0,3.8,61.2,0
学生91,71.5,24,7,58.5,3.5,54.1,1
学生92,84.5,23,13,85.9,3.1,67.3,0
学生93,59.5,23,8,45.5,3.8,50.4,1
学生94,65.1,27,4,76.1,3.9,60.0,0
学生95,64.1,26,14,75.7,4.2,64.4,0
学生96,48.0,22,10,59.4,3.3,46.8,1
学生97,74.4,27,3,70.9,2.3,57.8,1
学生98,73.9,25,7,42.5,2.7,38.2,1
学生99,70.1,27,4,81.6,3.9,67.8,0
学生100,66.5,26,2,61.7,1.5,51.7,1
学生101,48.8,22,11,55.6,2.9,50.4,1
学生102,63.7,23,15,83.9,2.0,44.1,1
学生103,64.9,27,2,52.3,2.5,58.8,1
学生104,58.0,26,10,39.6,4.0,44.8,1
学生105,67.6,24,5,37.0,2.7,49.5,1
学生106,76.1,25,6,75.9,2.6,55.0,1
学生107,98.3,28,5,42.0,0.9,55.2,1
学生108,72.6,23,4,96.6,3.4,62.1,0
学生109,73.9,26,8,27.5,3.3,41.3,1
学生110,68.9,24,4,95.5,5.1,79.1,0
学生111,41.2,24,9,68.8,2.1,45.4,1
学生112,69.6,28,7,63.3,2.8,56.0,1
学生113,70.9,27,7,55.2,2.8,56.6,1
学生114,100.0,27,4,72.2,4.4,72.3,0
学生115,67.1,28,5,64.3,2.4,54.3,1
学生116,74.5,25,11,84.9,2.8,65.6,0
学生117,69.5,27,10,67.1,3.2,69.2,0
学生118,52.5,24,4,67.7,2.7,49.8,1
学生119,87.1,25,8,58.5,2.0,57.4,1
学生120,81.3,24,11,64.0,2.7,63.3,0
学生121,81.9,25,1,70.5,3.8,67.5,0
学生122,56.4,26,10,34.2,1.3,43.6,1
学生123,91.0,22,5,40.7,2.7,55.0,1
学生124,49.0,30,10,78.4,1.7,46.8,1
学生125,78.8,21,4,68.1,3.9,68.0,0
学生126,100.0,21,0,61.7,0.7,51.5,1
学生127,55.1,28,1,65.3,1.8,50.2,1
学生128,61.5,27,8,71.3,3.0,51.8,1
学生129,71.5,26,9,55.3,4.4,55.4,1
学生130,62.4,26,4,51.0,2.4,48.6,1
学生131,46.7,24,10,68.5,1.8,49.0,1
学生132,71.0,22,1,47.4,4.8,54.1,1
学生133,54.1,25,7,72.3,0.8,56.9,1
学生134,77.1,22,3,34.4,0.0,42.1,1
学生135,56.2,27,5,83.5,3.0,56.8,1
学生136,93.2,24,8,73.5,1.9,67.9,0
学生137,58.3,22,4,69.6,1.3,55.2,1
学生138,65.2,24,6,82.7,3.4,54.6,1
学生139,82.2,26,12,95.0,2.8,72.9,0
学生140,51.5,23,5,83.3,1.8,56.8,1
学生141,73.4,22,11,31.9,1.0,39.2,1
学生142,89.6,25,3,42.0,3.5,60.8,0
学生143,45.9,25,10,53.8,3.3,44.4,1
学生144,72.8,23,13,65.5,2.4,56.1,1
学生145,73.9,23,0,74.3,4.7,61.3,0
学生146,81.7,25,4,51.9,1.2,50.6,1
学生147,51.4,20,10,68.4,0.7,40.3,1
学生148,50.2,20,7,51.4,1.7,33.9,1
学生149,77.8,22,9,54.0,2.4,60.3,0
学生150,74.5,24,5,39.7,2.8,42.9,1
学生151,73.8,25,8,48.4,2.2,44.3,1
学生152,75.2,29,7,40.7,2.9,38.3,1
学生153,59.8,27,12,47.4,1.0,39.9,1
学生154,73.5,24,9,84.0,4.2,58.9,1
学生155,74.4,24,9,47.9,2.4,57.8,1
学生156,59.3,21,6,100.0,3.8,70.2,0
学生157,98.0,24,6,73.9,2.9,63.0,0
学生158,77.1,24,6,68.3,3.0,69.7,0
学生159,52.1,25,9,49.5,3.2,50.2,1
学生160,79.8,22,6,77.6,3.0,60.5,0
学生161,55.4,26,9,54.6,3.3,35.9,1
学生162,81.8,29,16,67.2,4.1,75.1,0
学生163,87.4,24,11,100.0,2.7,65.6,0
学生164,57.7,26,6,63.3,3.4,43.8,1
学生165,84.5,27,12,85.7,2.4,71.9,0
学生166,76.2,23,6,52.3,4.2,67.0,0
学生167,82.3,25,0,64.4,1.7,62.6,0
学生168,98.5,25,3,96.9,4.7,81.0,0
学生169,66.3,25,0,53.7,2.5,51.7,1
学生170,58.7,22,6,97.6,0.8,62.6,0
学生171,56.7,25,8,77.7,2.7,59.2,1
学生172,57.8,26,14,54.9,1.7,48.0,1
学生173,68.8,29,9,76.4,3.5,61.6,0
学生174,75.1,27,7,82.5,1.7,60.6,0
学生175,74.2,30,11,76.2,2.0,56.3,1
学生176,82.4,22,0,36.7,0.2,41.0,1
学生177,70.2,27,8,51.9,2.0,41.0,1
学生178,91.8,25,11,60.5,0.0,54.3,1
学生179,66.0,30,2,63.7,0.6,44.6,1
学生180,100.0,22,12,76.2,3.4,63.6,0
学生181,79.4,22,9,68.2,3.4,60.7,0
学生182,57.1,23,6,41.0,3.0,49.6,1
学生183,53.9,18,10,71.8,1.3,53.1,1
学生184,77.2,23,17,76.0,2.4,53.0,1
学生185,66.6,22,8,75.1,2.5,51.5,1
学生186,80.7,25,8,84.5,1.1,66.5,0
学生187,77.1,26,6,80.0,4.3,60.6,0
学生188,68.9,30,4,73.3,3.6,58.8,1
学生189,57.3,27,11,63.7,2.2,53.1,1
学生190,47.3,23,4,35.1,2.5,31.6,1
学生191,63.3,22,8,72.7,2.8,55.8,1
学生192,82.8,26,6,68.7,0.0,48.0,1
学生193,73.2,21,9,69.9,2.2,52.9,1
学生194,51.3,30,9,42.0,1.7,42.0,1
学生195,72.6,28,12,45.5,1.3,39.1,1
学生196,75.8,23,5,84.0,2.2,63.8,0
学生197,56.7,19,6,64.3,4.7,53.2,1
学生198,72.3,29,4,77.3,3.3,64.3,0
学生199,70.9,24,6,65.5,1.8,54.3,1
学生200,52.9,28,9,65.5,3.2,58.5,1
